area_sqrt,RMSPE_mu
31.37010261,3.786960348
36.19752799,3.739417359
41.22609608,3.690946897
46.09375,3.643968455
48.86951959,0.784130596
50.96140392,3.597191638
51.52460354,0.784130596
54.1796875,0.784130596
55.98997201,3.54833809
56.83477146,0.784130596
59.48985541,0.784130596
60.69671175,3.501420136
62.14493937,0.784130596
64.80002332,0.784130596
65.25259445,3.445721447
67.45510728,0.784130596
69.74813433,3.389921945
69.50676306,0.784130596
74.24367421,3.334122444
76.14447295,0.780501361
78.7995569,0.780501361
78.7995569,3.277818882
81.45464086,0.780501361
83.38561101,3.21934786
84.10972481,0.780501361
86.76480877,0.780501361
87.73029384,3.16531257
89.41989272,0.780501361
92.07497668,0.780501361
92.15543377,3.115108141
94.73006063,0.780501361
97.38514459,0.780501361
97.89805854,3.074405252
100.0402285,0.780501361
102.6953125,0.780501361
102.6608309,3.041256071
105.3503965,0.780501361
108.0054804,0.780501361
108.2200326,3.002400205
110.6605644,0.780501361
113.3156483,0.780501361
113.5915012,2.965819812
115.8500466,0.780501361
118.3542736,2.932411399
123.9661556,2.892716632
126.1083256,0.784130596
128.7634095,0.784130596
129.053055,2.857513044
131.4184935,0.784130596
134.0735774,0.784130596
134.5261486,2.819905088
136.7286614,0.784130596
139.3837453,0.784130596
140.1380306,2.780663975
142.0388293,0.784130596
144.6939132,0.784130596
145.1498368,2.744724459
147.3489972,0.784130596
150.0040812,0.784130596
150.3359667,2.709440221
152.6591651,0.784130596
155.3142491,0.784130596
155.2840777,2.67496248
157.969333,0.784130596
160.624417,0.784130596
161.0267024,2.634436013
163.2795009,0.784130596
165.9345849,0.784130596
166.0380297,2.600044683
168.5896688,0.784130596
171.2447528,0.784130596
171.7274953,2.574899263
173.8998368,0.784130596
176.5549207,0.784130596
177.2790345,2.557012315
179.2100047,0.784130596
178.7272621,2.553383079
181.8650886,0.784130596
183.0317164,2.538563699
184.5201726,0.784130596
187.1752565,0.784130596
188.5832556,2.520115084
189.8303405,0.784130596
192.4854244,0.784130596
194.1750233,2.502573777
194.4163946,0.783767673
26.26268657,0.783123878
34.85970149,0.783123878