"area_sqrt","value","Scheme","variable","Framework"
27.08528183,28934.8373,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
29.38335316,29055.5381,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
31.05467777,174122.3428,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
31.47250892,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
34.08395362,170657.4663,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
37.11322948,167237.9225,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
37.7399762,28934.8373,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
40.03804754,28934.8373,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
40.03804754,163881.7677,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
42.33611887,28934.8373,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
43.06732339,160440.3259,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
44.63419021,29025.3629,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
46.09659924,157006.5676,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
46.93226155,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
49.02141731,153619.6787,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
49.23033288,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
51.52840422,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
52.05069316,150195.5248,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
53.82647555,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
55.07996901,146750.6255,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
56.12454689,29115.8886,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
58.00478707,143385.2504,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
58.42261822,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
60.72068956,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
61.03406292,139961.0965,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
62.80984532,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
64.16779656,136572.6709,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
67.3015302,133246.4817,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
70.43526384,129861.5137,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
72.00213066,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
73.56899748,126497.2912,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
74.300202,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
76.59827333,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
76.82808047,123354.3536,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
78.89634467,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
80.98550043,120945.1138,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
81.194416,29130.9762,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
83.28357176,119675.4915,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
83.49248734,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
85.52941421,118441.1365,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
85.79055868,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
88.08863001,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
89.5278262,116102.6618,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
90.38670135,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
91.84911038,114904.0351,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
92.68477268,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
94.01660948,113783.7801,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
94.98284402,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
97.28091535,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
98.55762165,111510.9994,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
99.57898669,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
101.877058,29296.9399,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
102.9912744,109307.3702,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
104.1751294,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
106.4732007,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
107.2392245,107214.3835,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
108.771272,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
111.0693434,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
111.6728773,105001.5342,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
113.3674147,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
112.9495836,104448.3218,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
115.3521127,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
116.3618713,102678.0423,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
120.6098213,100585.0556,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
125.1972592,98494.374,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
126.529096,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
128.8271673,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
129.9553114,96457.1695,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
131.1252387,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
131.1252387,96150.1367,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
133.42331,29296.9399,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
134.6245746,94500.8724,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
135.7213813,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
135.7213813,94158.5723,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
138.0194527,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
138.9073439,92644.1535,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
140.317524,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
140.317524,92167.0078,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
142.6155953,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
143.576607,90673.3345,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
144.9136667,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
144.9136667,90175.4434,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
147.211738,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
148.3346592,88619.5337,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
149.5098093,29432.7284,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
149.5098093,88266.8608,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
151.7034229,29598.6921,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
152.78282,86800.8481,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
154.5237832,29598.6921,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
154.105952,86524.242,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
157.2396857,29749.5682,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
157.7967939,85307.1748,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
159.7002469,29875.2982,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
159.1199258,84947.5868,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
161.9141717,30034.3468,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
162.7411292,83859.6025,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
164.0642611,30151.9044,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
163.9249841,83370.9316,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
166.1185976,30324.7833,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
167.3720911,82458.1313,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
168.7300423,30428.5106,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
168.8345001,82043.222,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
171.4459448,30579.3867,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
172.444097,80936.7973,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
173.9065061,30705.1168,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
173.7440162,80632.5305,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
176.1204308,30864.1653,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
177.3187938,79516.8856,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
178.2705203,30981.7229,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
178.75799,79138.8572,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
180.4293146,31147.6866,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
182.3327676,78087.7538,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
182.9363015,31258.3291,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
183.5630482,77894.1294,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
185.8611196,31424.2928,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
187.3699543,77562.202,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
188.7859376,31590.2565,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
188.7859376,77562.202,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
191.5018401,31756.2202,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
192.8249721,77119.6322,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
194.008827,31851.0566,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
194.008827,76898.3472,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
31.37010261,37869.60348,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
36.19752799,37394.17359,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
41.22609608,36909.46897,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
46.09375,36439.68455,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
48.86951959,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
50.96140392,35971.91638,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
51.52460354,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
54.1796875,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
55.98997201,35483.3809,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
56.83477146,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
59.48985541,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
60.69671175,35014.20136,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
62.14493937,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
64.80002332,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
65.25259445,34457.21447,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
67.45510728,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
69.74813433,33899.21945,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
69.50676306,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
74.24367421,33341.22444,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
76.14447295,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
78.7995569,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
78.7995569,32778.18882,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
81.45464086,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
83.38561101,32193.4786,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
84.10972481,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
86.76480877,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
87.73029384,31653.1257,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
89.41989272,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
92.07497668,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
92.15543377,31151.08141,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
94.73006063,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
97.38514459,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
97.89805854,30744.05252,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
100.0402285,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
102.6953125,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
102.6608309,30412.56071,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
105.3503965,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
108.0054804,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
108.2200326,30024.00205,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
110.6605644,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
113.3156483,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
113.5915012,29658.19812,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
115.8500466,7805.01361,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
118.3542736,29324.11399,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
123.9661556,28927.16632,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
126.1083256,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
128.7634095,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
129.053055,28575.13044,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
131.4184935,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
134.0735774,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
134.5261486,28199.05088,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
136.7286614,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
139.3837453,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
140.1380306,27806.63975,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
142.0388293,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
144.6939132,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
145.1498368,27447.24459,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
147.3489972,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
150.0040812,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
150.3359667,27094.40221,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
152.6591651,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
155.3142491,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
155.2840777,26749.6248,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
157.969333,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
160.624417,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
161.0267024,26344.36013,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
163.2795009,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
165.9345849,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
166.0380297,26000.44683,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
168.5896688,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
171.2447528,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
171.7274953,25748.99263,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
173.8998368,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
176.5549207,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
177.2790345,25570.12315,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
179.2100047,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
178.7272621,25533.83079,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
181.8650886,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
183.0317164,25385.63699,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
184.5201726,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
187.1752565,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
188.5832556,25201.15084,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
189.8303405,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
192.4854244,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
194.1750233,25025.73777,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
194.4163946,7837.67673,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
26.26268657,7831.23878,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
34.85970149,7831.23878,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
